accuracy: 97.91666666666666 error: 0.017381024207279775 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.005)}
accuracy: 93.28703703703704 error: 0.025524353210023623 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.006)}
accuracy: 92.12962962962963 error: 0.024087751408908592 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.007)}
accuracy: 93.75 error: 0.019889150090049223 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6000000000000001), 'lambda': np.float64(0.008)}
accuracy: 93.05555555555556 error: 0.025026468952697282 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.001)}
accuracy: 92.82407407407408 error: 0.024169785160896157 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.002)}
accuracy: 93.51851851851852 error: 0.02229169860615324 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.003)}
accuracy: 96.06481481481481 error: 0.014876041578215147 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.004)}
accuracy: 93.05555555555556 error: 0.025702586728982388 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.005)}
accuracy: 92.5925925925926 error: 0.02526616163573604 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.006)}
accuracy: 93.75 error: 0.02569949592790854 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.007)}
accuracy: 98.14814814814815 error: 0.01738441824847274 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.6500000000000001), 'lambda': np.float64(0.008)}
accuracy: 93.05555555555556 error: 0.024531546552222967 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.001)}
accuracy: 93.75 error: 0.01995925948123574 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.002)}
accuracy: 92.36111111111111 error: 0.02547922062680386 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.003)}
accuracy: 93.05555555555556 error: 0.024895119202723512 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.004)}
accuracy: 92.12962962962963 error: 0.025468712372917795 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.55), 'alpha': np.float64(0.7000000000000002), 'lambda': np.float64(0.005)}
